,mu,sigma,omega
36,1.9218170633159724,0.38987715586925087,0.9642857292878952
37,1.9649216291814147,0.42404064706461425,0.9999999683533624
38,1.8839712838981688,0.5614363986356254,0.9643255830763832
39,2.04333169626957,0.39776741125948684,0.9285715498144903
40,2.0062831198074504,0.3660627117653865,0.9999999683533624
41,1.992710208688812,0.4036930431473948,0.9999999683533624
42,2.08653574186193,0.5366492361844889,0.9999999683533624
43,1.9701276244753527,0.36860341954962644,0.9999999683533624
44,2.0362724831101575,0.38407146256059443,0.8571428855325979
45,1.9509544748373993,0.39681924415637126,0.8928571755299709
46,2.031166176769063,0.32120454632468504,0.9642857172139305
47,1.878860416893585,0.4160023656233213,0.9999999683533624
48,1.938928582136746,0.4310830329597385,0.9999999683533624
49,2.0144764458579565,0.454363449868571,0.9999999683533624
50,2.0680740663829638,0.40501947723240356,0.9999999683533624
51,2.015713974348684,0.469729797959752,0.964290363137605
52,1.9911516595476537,0.40974648424627863,0.9999999683533624
53,1.8695983323325027,0.489554960642829,0.8928595907442212
54,1.9690344266996902,0.46322206699749563,0.9999999683533624
55,1.926276305505571,0.4518409128147194,0.9999999683533624
56,2.089885673284564,0.5066273326879364,0.9643223914159235
57,1.7964707877678319,0.3596270705972344,0.8928571432706673
58,2.0802349527137616,0.3780141530949599,0.9642857649780772
59,1.867394226961014,0.4206690060579996,0.9285714930484199
60,2.0095111159359402,0.44203246233393273,0.9999999683533624
61,1.991483930001001,0.3855104014575863,0.9642857408044606
62,1.9614906363452211,0.4786319007649028,0.8928608715368272
63,1.9537197171728806,0.427514429247675,0.9642859832179081
64,2.061117023454807,0.4758074797579108,0.9999999683533624
65,1.9013072469178205,0.40637648782675867,0.9642857497135443
66,2.0427509545224134,0.3321267808328527,0.9999999683533624
67,1.8907190691019617,0.41441674378194077,0.9999999683533624
68,1.9471830823047802,0.5368717731618595,0.9999999683533624
69,2.069773270278212,0.367365525575766,0.9642857343325413
70,1.9477787734336833,0.513074608935834,0.9999999683533624
71,2.0851024685687594,0.472023779998996,0.9285810618515243
72,1.9803150262405698,0.32875983800485153,0.9642857172233182
73,1.937057872529802,0.29913809947320924,0.9999999683533624
74,2.0229809430901775,0.41444396099483344,0.9999999683533624
75,2.0338498044234323,0.44816184535522025,0.9642877766842473
76,1.962163992807702,0.4873653225770195,0.9999999683533624
77,2.012044265685309,0.4442678406283796,0.964287053139368
78,1.9120833716358916,0.2905032498215243,0.9999999683533624
79,1.9869353648944392,0.40981969827077913,0.8928572679043475
80,2.0527007813247584,0.4746859322499019,0.9999999683533624
81,1.949154690128053,0.40695538599148634,0.9999999683533624
82,1.991436260334484,0.3938332992073017,0.9999999683533624
83,1.8329060915442439,0.42367166280126356,0.9642857624261307
84,2.1604843778262057,0.37958096727004614,0.9642858854768062
85,2.075015941623705,0.3540826538038814,0.9285714386279184
86,2.04852373032586,0.3381477676041933,0.9642857178401237
87,1.9882080097306654,0.42628794511101137,0.9999999683533624
88,1.9255753103898776,0.4174913707077545,0.8928572370278632
89,2.0195310367257595,0.47224743655614965,0.9999999683533624
90,2.0154629962545103,0.268552585592028,0.9285714284549886
91,2.0180153112471726,0.43844810219645125,0.9999999683533624
92,1.9603581249634316,0.4401939999439596,0.964286318641967
93,1.911998839413928,0.4631938466668929,0.9999999683533624
94,1.9184037326831982,0.35166248875389233,0.9999999683533624
95,2.159140852859239,0.3970519814898637,0.9285719365969749
96,1.9964568427838694,0.4538465044588823,0.8928588399354382
97,1.9618886933080175,0.38594863290493403,0.9642857330312197
98,1.9886571766642012,0.48214058027251133,0.9642917797910099
99,1.8885892569973222,0.39237414445983215,0.9999999683533624
100,2.06895022731347,0.4244311381881335,0.9642865958345986
101,1.9643295323027075,0.41810791727888,0.9642858854967146
102,1.9277961438375941,0.38693432169116165,0.9999999683533624
103,1.9652620546290425,0.5124220699926763,0.964301404841598
104,1.870893824007283,0.41284060740030176,0.9642857517919948
105,2.026418815479251,0.3018417858261243,0.9642856808334117
106,1.9964651668533415,0.3243526600215464,0.9642857172033038
107,1.9608646583629494,0.4311068002706738,0.9999999683533624
108,1.9572372082557832,0.3978063647164296,0.9642857543412988
109,2.0442519930374377,0.4193345584198405,0.9642862054364123
110,2.015765185029483,0.324494383714823,0.9285714283110155
111,2.148382836819626,0.5356651844691523,0.9644209756207858
112,1.936869478352091,0.470714368927836,0.9999999683533624
113,2.0703068881450197,0.34856687302157935,0.9999999683533624
114,1.976325543737534,0.38982749323311017,0.9642857438423488
115,2.084719118166515,0.45284686142938535,0.9999999683533624
116,2.0832659724498734,0.4609108507685735,0.9999999683533624
117,2.0446910824421014,0.45127555975852157,0.9285742258803479
118,2.011073657219094,0.548270016591739,0.928638688056763
119,1.9676218713708473,0.5637016788224697,0.9643636429754138
120,2.020025996353755,0.449893646885986,0.9642876517513617
121,2.024025617231412,0.36890336424512843,0.9999999683533624
122,1.8344671721803023,0.29592394340425054,0.9642857249805683
123,2.1187775315033255,0.45201457724294497,0.9642916907744721
124,2.004851049518968,0.43924199094868,0.9642866638651734
125,2.054427405644088,0.47240676094180967,0.9999999683533624
126,1.9481601728769047,0.4266057576668223,0.8928573639608953
127,2.1364947477396834,0.4557432810572397,0.9642941033215345
128,2.046945547873436,0.39371201170734516,0.9642858125319697
129,2.06401702390212,0.44987082087126223,0.9642887963101336
130,2.0413296378735613,0.4682552240436867,0.9999999683533624
131,2.079523333246933,0.4438418177720972,0.9999999683533624
132,1.9841493721996915,0.31570799157983337,0.9999999683533624
133,1.972677723457085,0.34010206171998686,0.9999999683533624
134,2.061017165838624,0.3927832721943274,0.9999999683533624
135,1.9747580088481198,0.4364974516720269,0.9999999683533624
136,2.089366367257683,0.43400106493876434,0.9999999683533624
137,1.8700195068608485,0.4794969454060057,0.9999999683533624
138,1.9040646314531566,0.48054255199313123,0.9642882077062326
139,1.9548183994880501,0.3962596206421363,0.9642857491108194
140,1.9562989603232117,0.27736176385612277,0.9642857171793783
141,1.9089094777259459,0.40800166674859883,0.9999999683533624
142,2.174889049425716,0.4713082602460392,0.9643081318224913
143,1.8859693200123444,0.4030059427300431,0.9642857375173014
144,2.0358141713107476,0.4390191740798796,0.9642870407359585
145,1.9626591462708252,0.5311802582270608,0.9999999683533624
146,1.9128750044634042,0.29726952102904836,0.9285714285213529
147,2.0007232453711112,0.44592832464561755,0.8928583374183143
148,1.8324682565605772,0.4618363258815673,0.9642861848733868
149,2.0225975823905786,0.49940229048841384,0.9643018557415066
150,2.0427095437734493,0.5793610666929814,0.964477795629944
151,1.89100295149264,0.49527612025365214,0.9285764844269392
152,2.0175030182292426,0.35860735787284587,0.9285714317177565
153,1.8954647668395963,0.4471806036084271,0.964286140232103
154,2.0518286625778894,0.3512415165980992,0.9642857200672194
155,2.0241740438485465,0.44546081831590156,0.9999999683533624
156,1.863117972062451,0.3878022089892999,0.9285714321315154
157,1.7205848549527623,0.46395556854325387,0.9999999683533624
158,1.8455335814514746,0.4808127728138251,0.9285727793359996
159,2.0292827948035557,0.4326453074419303,0.9999999683533624
160,1.958442182978283,0.505589103092246,0.9999999683533624
161,2.0059749960081668,0.4922374582290817,0.9285816917043134
162,1.8097576863647016,0.47991807607044623,0.9285723257680744
163,2.00842751659702,0.41903112203092224,0.9285717268617705
164,2.0963010387481025,0.4406466809655863,0.9642885020352892
165,1.9167364958280797,0.41656035503513006,0.9642857997352989
166,2.113061765901391,0.5083659313097244,0.9643326061510896
167,2.006845648656679,0.38666648878991394,0.9642857495205926
168,1.9592805363125376,0.5087763636364205,0.9999999683533624
169,1.9685425541034662,0.41229156185996724,0.9285715527431797
170,1.9824876844151957,0.457411391888194,0.9999999683533624
171,2.016621382126934,0.3357758430418754,0.8928571475945277
172,2.0224316775475617,0.36847696138283087,0.9642857262024601
173,1.9179844034273332,0.39083002885544715,0.9285714314065467
174,1.9948138072147132,0.4632977181869982,0.9999999683533624
175,1.976783085495819,0.4760048804678516,0.9285760989072478
176,1.999835294353822,0.4147169583244633,0.9999999683533624
177,1.9020068854171497,0.4194444729754164,0.9999999683533624
178,2.009858016610211,0.41046285958501205,0.9642859002282012
179,1.9959121248883862,0.4064674498642493,0.9999999683533624
180,2.0440496532486567,0.4179309101076307,0.9999999683533624
181,2.000349414748949,0.35406130611049336,0.96428571876443
182,1.9807240587015433,0.34389123009561656,0.9285714229163803
183,1.927269108888386,0.2964939230226627,0.9999999683533624
184,2.0342720937418504,0.44437930015041444,0.9999999683533624
185,1.96108051315598,0.41922862209311845,0.9642858908138385
